,short_description,category,availability,price,images,full_description
0,"Многофункциональный развивающий игровой центр ""8в1"" «коровка»
",Обучение,1,4900,"http://localhost:8888/sabi/wp-content/uploads/2023/02/_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/","➡️ Многофункциональный развивающий игровой центр ""Коровка"" - это целый игровой комплекс для комплексного развития малыша.
⠀Данный комплекс включает в себя 8 игровых элементов по системе Монтессори для развития мелкой моторики, логики, координации, музыкальных способностей:
⠀- каталка с веревочкой;
⠀- игра-стучалка с 2 молоточками;
⠀- арифметические счёты;
⠀- ксилофон с палочкой;
⠀- магнитная рыбалка с 4 рыбками;
⠀- магнитная рыбалка с 8 червяками;
⠀- логический лабиринт ""Кто что ест?""
⠀- игра ""Вращающееся колесо""
⠀Развивающая игрушка ""8в1"" выполнена из натурального дерева и окрашена в приятные цвета безопасной водной краской.
⠀Игрушка рекомендована от 3 лет, но под присмотром взрослых можно использовать раньше.
🧪 МАТЕРИАЛ: дерево
🛍️ УПАКОВКА: цветная коробка 
📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 18 шт.
"
1,"Многофункциональная логарифмическая доска ""6в1"" «русский алфавит»
",Математическое развитие и обучение,1,3300,"http://localhost:8888/sabi/wp-content/uploads/2023/02/_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/","➡️ Большая многофункциональная деревянная игровая панель, сочетающая в себе 7 развивающих и обучающих  игр, направленных на ранее развитие ребенка:
⠀- игра ""магнитная рыбалка"";
⠀- цветные колечки со столбиками;
⠀- цветные цифры от 0 до 10;
⠀- математические знаки ""+"" ""-"" ""=""
⠀- буквы русского алфавита;
⠀- фигурки животных и динозавров;
⠀- фигурки различных видов транспорта.
👶 ВОЗРАСТ: от 3-х лет 
🧪 МАТЕРИАЛ: дерево
🛍️ УПАКОВКА: цветная коробка 
📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 30 шт.
"
2,"Деревянная мозайка с шариками-фишками и карточками-трафаретами (25 фишек/10 карточек)
",Мозаика,1,1800,"http://localhost:8888/sabi/wp-content/uploads/2023/02/_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/","📌 ОПИСАНИЕ: Деревянная шариковая мозайка - это полезная игра для развития фантазии и логического мышления у малышей.
⠀В комплект входят 10 ярких тематических карточек-трафаретов и 25 разноцветных фишек.
Варианты игр:
⠀- подобрать фишки по цвету на карточках и разместить их на игровом поле;
⠀- перемешать все шарики и предложить ребёнку рассортировать их по цветам;
⠀- выстроить на поле узоры в виде цифр, букв или геометрических фигур;
⠀- использовать деревянные цветные фишки в качестве счётного материала.
⠀Такое творчество тренирует ловкость рук,  моторику пальчиков, координацию движений, развивает цветовосприятие, логическое и пространственное мышление.
⠀Игра выполнена из экологически чистых материалов и окрашена безвредными акриловыми красками, произведёнными на водной основе.
👶 ВОЗРАСТ: от 3-х лет
🧪 МАТЕРИАЛ: дерево, картон
🛍️ УПАКОВКА: цветная коробка 
📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 48 шт.
"
3,"Игровой электромеханический поезд «Грузовой экспресс» для железных дорог
",Сюжетно-ролевые наборы,1,1600,"http://localhost:8888/sabi/wp-content/uploads/2023/02/_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/","📌 ОПИСАНИЕ: Игровой электромеханический скоростной поезд выполнен в современном ярком дизайне и состоит из 1 локомотива и 2-х грузовых вагонов.
⠀Локомотив и вагоны соединены между собой с помощью магнитной сцепки.
⠀Для активации поезда необходимо нажать на кнопку на крыше локомотива.
⠀Движение поезда осуществляется в двух направлениях (вперёд/назад). Для выбора направления движения нужно поставить переключатель на крыше в крайнее правое или левое положение.
⠀Идеальный вариант для комплектации или расширения имеющихся у ребенка наборов железных дорог.
⠀Игровой поезд абсолютно совместим со всеми деревянными и пластиковыми наборами железных дорог других производителей.
⠀Игрушка работает от 1 батарейки типа ""АА"" (не входит в комплект).
👶 ВОЗРАСТ: от 3-х лет
🧪 МАТЕРИАЛ: пластик 
🛍️ УПАКОВКА: цветная коробка 
📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 120
"
4,"Большие фигурные пазлы из 287 элементов (в ассортименте)
",Пазл,1,2100,"http://localhost:8888/sabi/wp-content/uploads/2023/02/_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/","📌 ОПИСАНИЕ: Фантастически красивые фигурные пазлы приглашают любознательных детишек в удивительное приключение, где обитают множество экзотических животных, птиц и подводных обитателей!
⠀Пазлы представлены в одной из 4 тематик: Носорог (африка), Слон (джунгли), Кит (морской мир) и Тираннозавр (динозавры).
⠀Также, в каждом пазле имеются 2 дополнительные фигурки на подставке.
⠀Веселая и увлекательная игра сопровождается манипуляциями с небольшими элементами, сопоставлением деталей и сборке картинки по отдельному образцу в наборе, в результате чего развивается сенсорное восприятие и мелкая моторика.
⠀Кроме того, эти большие пазлы отлично подходят для игр с поиском животных. Например, попросите ребёнка найти озорную мартышку, сосчитать всех представленных слонов, либо найти только птиц, и так далее – это занятие отлично развивает внимание и сосредоточенность.
⠀Помимо эстетического наслаждения, пазлы научат детей усидчивости и умению доводить начатое дело до конца, а также будут полезны для расширения кругозора.
⠀Детали пазла изготовлены из прочного и приятного наощупь картона, а красивая и удобная для хранения коробка делает его идеальным подарком!
👶 ВОЗРАСТ: от 3-х лет
🧪 МАТЕРИАЛ:  высококачественный картон 
🛍️ УПАКОВКА: цветная коробка 
📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 30 шт.
"
5,"МНОГОФУНКЦИОНАЛЬНЫЙ РАЗВИВАЮЩИЙ НАБОР ""2в1"" «Шариковая мозайка с карточками + игра-сортировка по цвету»
",Мозаика,1,3050,"http://localhost:8888/sabi/wp-content/uploads/2023/02/_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/","📌 ОПИСАНИЕ: Многофункциональный развивающий набор станет отличным выбором для детей, сочетающий в себе несколько развивающих игр для разных возрастов:
⠀- мозайки из деревянных цветных шариков с карточками-трафаретами;
⠀- мозайки из цветных шариков с яркими карточками-картинками; 
⠀- игры-сортера с силиконовыми формочками под цвет шариков.
⠀- игры на построение обьемных пирамидок из цветных шариков;
⠀- разноплановых игр на захват цветных шариков щипчиком, ложкой и китайскими палочками.
⠀В процессе увлекательной игры развивается мелкая моторика рук, логическое и пространственное мышление, внимательность, усидчивость, цветовосприятие, а также формируется абстрактное мышление и фантазия.
⠀Работа с щипцами и китайскими палочками помогает подготовить руку к письму, развивает координацию.
⠀Комплектация:
- деревянное основание с отверстиями для шариков;
- ламинированные двусторонние карточки-трафареты (15 шт);
- деревянные цветные шарики - 77 шт (7 цветов по 11 шт);
- цветные силиконовые стаканчики - 7 шт;
- щипчик;
- китайские палочки;
- деревянная ложечка.
👶 ВОЗРАСТ: от 3-х лет
🧪 МАТЕРИАЛ: дерево, картон, силикон
🛍️ УПАКОВКА: цветная коробка 
📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 24 шт.
"
6,"Игровая железная дорога с электропоездом ""Городской экспресс"" (104 элементов)
",Сюжетно-ролевые наборы,1,9700,"http://localhost:8888/sabi/wp-content/uploads/2023/02/_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/,http://localhost:8888/sabi/wp-content/uploads/2023/02/","➡️ Захватывающая игра Железная дорога ""Городской экспресс"" в подарочном чемоданчике, станет отличным подарком для ребенка на Новый год, День рождения или просто так.
⠀Комплектация: железная дорога из 104 элементов и инструкция по сборке, электропоезд из трех вагонов на магнитных сцеплениях, вся инфраструктура города: дорожные знаки, полицейский участок, машины, вертолет, фигурка полицейского, мосты и туннели.
⠀Железную дорогу можно собирать по своему желанию благодаря простому креплению элементов.
⠀Сюжетно-ролевые игры являются эффективным средством для обучения и формирования у ребенка коммуникативных, речевых и социальных навыков.
⠀Развивает логическое и пространственное мышление, мелкую моторику, внимательность и воображение.
👶 ВОЗРАСТ: от 3-лет
🧪 МАТЕРИАЛ: пластик
🛍️ УПАКОВКА: цветная картонная коробка
📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 18 шт.
"
